,avg 00-01 UTC,avg 01-02 UTC,avg 02-03 UTC,avg 03-04 UTC,avg 04-05 UTC,avg 05-06 UTC,avg 06-07 UTC,avg 07-08 UTC,avg 08-09 UTC,avg 09-10 UTC,avg 10-11 UTC,avg 11-12 UTC,avg 12-13 UTC,avg 13-14 UTC,avg 14-15 UTC,avg 15-16 UTC,avg 16-17 UTC,avg 17-18 UTC,avg 18-19 UTC,avg 19-20 UTC,avg 20-21 UTC
15,1049.488004,929.7707124,1017.932441,930.380436,956.1664941,1027.808057,1013.636907,1033.429236,984.7639702,985.7863798,1023.417928,979.3783038,997.2766227,1013.08675,952.7553348,954.1241515,1023.010748,946.0069875,959.3759887,984.0132,970.5980944
16,1047.212184,939.3971999,1034.807154,920.2520712,945.6596852,1016.840596,1002.475511,1024.188798,973.7512646,980.7330796,1042.501588,968.3394951,1008.353142,1001.561396,957.05062,954.8768191,1027.567822,952.6832373,949.9205583,982.4658791,969.9716309
17,1037.125076,929.8630218,1025.939455,912.2924507,945.4902831,1005.796865,991.3493587,1013.283516,963.2159764,984.9378615,1030.965219,957.3006863,1027.317911,996.7748555,958.3896776,952.7715809,1026.771113,959.2327525,939.5982332,981.9599792,969.7211838
18,1040.601973,921.9390196,1033.765702,910.029534,934.6664804,994.7531333,982.0191156,1010.140175,952.7162405,1003.411184,1019.42885,946.8679244,1042.639365,1003.636691,955.3198742,953.6587712,1025.556458,958.9477393,929.4290124,979.5984178,969.3381563
19,1047.205752,929.191309,1024.269914,911.5132339,924.1014077,1001.519574,976.2301225,1009.569697,942.3820936,1022.549229,1008.357689,936.4351624,1052.191042,1008.714794,948.1995598,951.8648519,1024.784739,952.2019686,919.6549151,975.1233469,967.7171803
20,1048.735538,940.1577195,1013.105845,901.4973709,915.7731393,1017.35261,970.988523,1011.933616,957.9991463,1029.593316,997.2865276,926.2305817,1071.940931,1003.223215,940.7433364,945.5671278,1022.033006,943.1759669,909.7057036,970.425617,964.2724975
21,1055.402718,932.3046252,1002.124484,891.6864125,930.6293437,1005.919356,968.1126256,1028.151175,953.1885449,1021.86692,997.5343271,943.7005082,1091.990928,996.4468271,934.2721504,940.7942005,1016.929497,933.2937413,899.8091254,966.3965345,959.1691563
22,1043.399133,933.7845281,992.2265117,882.6056174,920.1320489,994.4861008,974.8502975,1035.916807,969.3028909,1010.93803,1012.959863,933.5103895,1112.555959,992.0518109,928.3211741,938.0005268,1011.485426,922.8283548,890.5139462,963.2162179,951.9327611
23,1031.441635,951.3193976,1008.70967,875.7126118,910.2245047,983.2196079,987.5212702,1027.783542,960.8821642,999.7173198,1014.887105,922.9260177,1128.731274,986.3559419,922.5965354,934.0245952,1007.686584,912.3635117,882.9351724,958.741674,944.412178
24,1019.672503,969.1544977,1012.192225,874.750384,900.3062614,971.957098,993.3556745,1017.387445,957.0246306,990.0374227,1003.80027,940.3786524,1132.521145,979.0491507,916.8433396,929.5203614,1005.545079,902.2117648,877.285327,951.7058061,937.2183543
